,train loss,valid loss
0,0.18292131181806326,0.09775401204824448
1,0.14550126949325204,0.07007433623075485
2,0.1231058114208281,0.07588338479399681
3,0.1047999132424593,0.10272757411003113
4,0.09020186867564917,0.08680915385484696
5,0.0787398531101644,0.06928799375891685
6,0.0699374065734446,0.09928668960928917
7,0.06139759160578251,0.06079812645912171
8,0.0548753309994936,0.033460626378655434
9,0.04968427587300539,0.0715965136885643
10,0.04481624695472419,0.029376207664608956
11,0.04167585028335452,0.03887137360870838
12,0.0374162383377552,0.04096472002565861
13,0.03382335766218603,0.035829446837306024
14,0.031344213639386,0.03657814636826515
15,0.028908665874041617,0.10690229386091232
16,0.027554449741728604,0.03439485467970371
17,0.025675212498754263,0.029217471927404405
18,0.025054209283553064,0.036518195271492006
19,0.024405274423770607,0.2498374581336975
20,0.022875946713611484,0.030715391412377356
21,0.021774127846583724,0.02537863589823246
22,0.020832685579080135,0.04800266101956367
23,0.02006373816402629,0.024944231472909452
24,0.019199271860998124,0.02165585644543171
25,0.018228296365123242,0.023435009457170964
26,0.01784621609840542,0.026317483559250832
27,0.017164504097308964,0.19410474896430968
28,0.01680030452553183,0.022037331387400626
29,0.016507981112226844,0.021283397823572157
30,0.015714391542132944,0.022101595439016818
31,0.015789244032930583,0.01980798486620188
32,0.015137646871153265,0.02598212379962206
33,0.014673566503915936,0.021437072195112705
34,0.014466956432443112,0.01944749504327774
35,0.0139544538105838,0.019966033287346363
36,0.013828343653585762,0.02043011486530304
37,0.013522821653168648,0.019448554329574107
38,0.01340836234157905,0.019136032834649087
39,0.013511805824236944,0.06583126485347748
40,0.013064964674413204,0.13574422299861907
41,0.01304916784283705,0.018083570804446936
42,0.012717914825771004,0.020366189256310462
43,0.012629863223992288,0.021934210881590845
44,0.01302764262072742,0.10709710270166398
45,0.01272261599660851,0.02058394532650709
46,0.012498198600951582,0.028273699060082435
47,0.011902339814696461,0.021828648261725904
48,0.011761550704250112,0.018146855384111406
49,0.011654841713607311,0.018561099469661713
50,0.011425660399254411,0.020464631915092468
51,0.011643632024060935,0.02579558566212654
52,0.011707974510500208,0.37286990880966187
53,0.011393744265660644,0.017938188463449477
54,0.011040045006666332,0.017004722356796266
55,0.010866618133150041,0.0202567707747221
56,0.010801260417792946,0.018552826158702372
57,0.01058805623324588,0.01646074391901493
58,0.010446971660712734,0.024486912041902544
59,0.010961257939925417,0.023148968070745467
60,0.010695474222302437,0.3686812102794647
61,0.010796776361530647,0.017619155906140806
62,0.010365150577854365,0.019829852879047392
63,0.010208080464508384,0.016296004131436347
64,0.010144344065338373,0.01662121554836631
65,0.010026441421359777,0.017782669607549907
66,0.010081643122248352,0.019977286644279956
67,0.010056196653749794,0.019459453411400318
68,0.010195144743192941,0.10365669578313827
69,0.010120142163941637,0.01878575552254915
70,0.009932143439073116,0.0200725182890892
71,0.009671998035628349,0.015687957033514978
72,0.009639612399041653,0.01531116310507059
73,0.009571807546308264,0.01673187976703048
74,0.009475820610532537,0.015704001672565936
75,0.009359142452012748,0.07245749309659004
76,0.00940616533625871,0.015996008180081844
77,0.009345621278043836,0.015438232757151126
78,0.009402059455169365,0.0185850759036839
79,0.00953604417736642,0.01678289007395506
80,0.00938286681775935,0.38652326464653014
81,0.009741539921378717,0.019241783022880554
82,0.009452454774873331,0.014804326836019755
83,0.0093117298965808,0.01701214499771595
84,0.009335544484201819,0.018098360300064086
85,0.009310879948316142,0.16513663828372954
86,0.009257385565433651,0.019057240709662436
87,0.009449140721699223,0.022105404548346995
88,0.010036203238996677,0.026127823069691657
89,0.009331887122243643,0.05143911615014076
90,0.009126737102633342,0.01604339312762022
91,0.009217799190082587,0.015087108127772808
92,0.009209491981891915,0.015191240701824427
93,0.008961037499830127,0.015264178812503814
94,0.008706928172614425,0.016211243346333504
95,0.00859023499651812,0.031788131967186925
96,0.008474837391986512,0.015106675308197736
97,0.008481885568471625,0.0134453103877604
98,0.008554489555535838,0.014522764831781387
99,0.008341510110767558,0.014288590475916862
